killed_by,count
Down and Out,4030671
M16A4,3039630
AKM,2894587
M416,2549531
SCAR-L,2274899
UMP9,2256162
S1897,2239471
Punch,1419155
S686,1270908
S12K,1103385
Micro UZI,984474
Mini 14,733862
P1911,614256
Tommy Gun,604147
P92,590071
SKS,545969
Grenade,440240
Kar98k,365485
Falling,339743
Hit by Car,286971
Bluezone,256822
Vector,247209
Drown,182703
R1895,179925
DP-28,141262
VSS,89014
Crossbow,80727
Pan,64724
Uaz,62603
P18C,59462
RedZone,42200
Motorbike (SideCar),33188
Dacia,30008
Motorbike,26909
death.ProjMolotov_DamageField_C,25715
Machete,24770
Crowbar,22303
Sickle,20858
Buggy,17917
Groza,15960
M249,13337
death.Buff_FireDOT_C,9536
M24,7965
Mk14,5115
AWM,4912
Boat,2027
AUG,1982
death.ProjMolotov_C,802
death.RedZoneBomb_C,222
Aquarail,45
death.PlayerMale_A_C,4
death.None,1
