killed_by,count
Down and Out,1319495
M416,944594
SCAR-L,704706
Bluezone,670599
M16A4,430515
AKM,338105
Kar98k,283023
Mini 14,246144
SKS,161925
Grenade,137889
UMP9,118555
Groza,67610
M24,61831
AWM,49029
M249,42869
Mk14,21928
Falling,21381
S12K,14079
Vector,12106
Micro UZI,10666
Uaz,10462
S1897,10209
Hit by Car,10191
Tommy Gun,10105
AUG,9632
VSS,9201
S686,7558
DP-28,7054
Dacia,4282
Crossbow,2512
Drown,2302
P92,861
P1911,855
Pan,811
Punch,751
P18C,751
death.Buff_FireDOT_C,630
death.ProjMolotov_DamageField_C,590
Buggy,480
R1895,352
Motorbike,161
Motorbike (SideCar),138
Boat,114
death.ProjMolotov_C,32
Machete,28
Crowbar,18
Sickle,17
