killed_by,count
Down and Out,280675
M416,230731
SCAR-L,153758
Bluezone,124058
AKM,61187
M16A4,60359
Kar98k,53487
SKS,35107
Mini 14,29165
Grenade,27874
UMP9,18789
M24,13462
AUG,12921
AWM,10865
Groza,9429
M249,5733
Mk14,5075
Falling,3389
Vector,2038
Pickup Truck,1439
Micro UZI,1430
Hit by Car,1226
Tommy Gun,1191
S12K,1187
VSS,998
Win94,960
S1897,789
S686,667
death.WeapSawnoff_C,224
Crossbow,151
Buggy,111
Punch,107
P18C,97
P92,86
death.Buff_FireDOT_C,81
P1911,79
Van,79
Pan,74
death.ProjMolotov_DamageField_C,72
R45,57
Drown,57
Motorbike,24
Motorbike (SideCar),18
Machete,5
death.PG117_A_01_C,4
death.ProjMolotov_C,1
Crowbar,1
