killed_by,count
Down and Out,3664784
M416,2394798
SCAR-L,1877004
Bluezone,1665706
M16A4,1518958
AKM,1307071
Kar98k,723089
Mini 14,716892
UMP9,540608
SKS,493470
Grenade,361871
Falling,236450
Hit by Car,197811
Uaz,140963
S1897,94580
Groza,93159
M24,90528
S12K,89441
Micro UZI,74050
M249,68102
AWM,61500
Tommy Gun,60415
Dacia,59596
S686,59425
Vector,47366
Drown,46029
Mk14,38568
VSS,34769
DP-28,30073
RedZone,26943
Motorbike (SideCar),21125
Punch,20132
Motorbike,19261
Buggy,17924
AUG,12497
Pan,9005
death.ProjMolotov_DamageField_C,8202
P92,7704
Crossbow,7589
P1911,7343
Boat,6327
P18C,4110
death.Buff_FireDOT_C,3175
R1895,2555
Machete,870
Crowbar,408
Sickle,404
death.ProjMolotov_C,384
death.RedZoneBomb_C,158
Aquarail,63
