killed_by,count
Down and Out,835021
M416,602246
SCAR-L,435333
Bluezone,404532
AKM,253179
M16A4,248240
Kar98k,164721
SKS,124083
Mini 14,105665
UMP9,99730
Grenade,79731
Hit by Car,49039
Falling,41583
Pickup Truck,36098
M24,21402
AUG,16289
AWM,15186
Groza,12987
Micro UZI,11727
Win94,10145
Mk14,9716
S12K,9194
M249,8775
S1897,8774
Tommy Gun,8353
Vector,8175
S686,6156
Buggy,5769
RedZone,5453
VSS,5051
Punch,4341
Motorbike,4281
Motorbike (SideCar),3401
Van,2250
death.WeapSawnoff_C,1912
Pan,1645
death.ProjMolotov_DamageField_C,1552
Drown,1286
P92,964
P1911,795
R45,755
Crossbow,656
P18C,600
death.Buff_FireDOT_C,599
death.RedZoneBomb_C,205
Machete,149
death.ProjMolotov_C,70
death.PG117_A_01_C,65
Crowbar,62
Sickle,56
Aquarail,44
