[2349.4989800231447,2181.4025203984315]
[3588.045290061275,2320.854218960276]
[1256.9369091295177,2794.2005472875335]
[2409.5175231661806,2926.2242362794605]
[3116.0600038574416,1710.4630508266148]
[2507.7798918224016,705.3927192148807]
[1359.5451955823225,1673.8677950177457]
[2626.46717223802,1603.2858426859912]
[1943.266781510867,3052.5282999421747]
[3264.5652505918633,1096.7872249371176]
[1151.205964793482,1965.7799753371594]
[0.036958208320300286,0.05451270566155771]
[804.9877926682112,1625.509133533311]
[1143.6860117307979,1333.6714211160452]
[1522.3251798843842,1303.3326711732982]
[2206.5952265729043,1771.9091161911924]
[1598.605816109361,2030.7155902604752]
[577.4592791220897,2520.099970598778]
[2860.879283305347,830.9970758714043]
[2209.4852363983264,3575.616867818253]
[1631.6617552012767,730.6610741066038]
[2878.0967481199236,1914.90740518325]
[1090.9895154241715,2527.3398555455674]
[1952.1019624926032,2099.4625677339864]
[1830.6023753753673,2436.464340838251]
[720.9830249156629,1992.8813766125868]
[2729.810804240668,2444.1752990769273]
[2952.5705171134546,2232.7612766046996]
[2783.0399273977873,3459.249139814708]
[2530.0454522926843,3226.472697338442]
[2048.433662308701,1345.231658748093]
[1791.1476576380483,3399.621173250981]
[1293.9247862282466,924.0997818795535]
[1574.941124406234,2700.3588497399983]
[2421.86394735191,1273.0945215092122]
[1377.6004190591034,2315.7554479531277]
[825.6954062304626,2905.1231623134477]
[2099.2163430526334,810.4059217778879]
[2546.206683241149,1980.9635752782883]
[1811.4494380462602,1706.905689930041]
[1767.4647166640718,1082.2011518884099]
[882.7010825223216,944.1261318071151]
[3409.2453991325506,1587.4053328687623]
[2209.3420001468157,3192.482550347206]
[3259.222179100232,2492.6490140585115]
[2216.223595163651,2423.1123784158176]
[885.6671369826872,2283.5801861568284]
[2884.2970979522506,1313.5677213046051]
[2920.315515342903,3122.664574714001]
[3287.963913672214,2086.3311760733586]
