(0,0.025251072)
(1,0.043229315)
(2,0.0077825813)
(3,0.04506049)
(4,0.010830822)
(5,0.048112232)
(6,0.016063677)
(7,0.00274223)
(8,0.014515015)
(9,0.029098649)
(10,0.039297685)
(11,0.047544304)
(12,0.018898457)
(13,0.014317717)
(14,0.0032432242)
(15,0.0031333868)
(16,0.021539444)
(17,0.014500637)
(18,0.0114011625)
(19,0.013212469)
(20,0.0029434275)
(21,0.01227444)
(22,0.01799087)
(23,0.097092785)
(24,0.0018035395)
(25,0.030979667)
(26,0.0013263439)
(27,0.01173679)
(28,0.008142106)
(29,0.014773032)
(30,0.014281028)
(31,0.009858252)
(32,0.002986893)
(33,0.0028763618)
(34,0.014769825)
(35,0.091311604)
(36,0.004749314)
(37,0.012941198)
(38,0.009036505)
(39,0.01068066)
(40,0.0039542415)
(41,0.0852258)
(42,0.019494647)
(43,0.0152280815)
(44,0.0063434253)
(45,0.006419548)
(46,0.031773217)
(47,0.008116886)
(48,0.012602167)
(49,0.00851277)
