[369.18356772540426,264.363143254773]
[593.5683256073986,738.2485558761286]
[673.9393847093809,808.6665684544265]
[172.54873549586353,593.4054264683948]
[488.1885615020444,428.047526549682]
[304.77136571531736,777.7355380840572]
[319.2461070602539,180.09317176639811]
[585.1048808517794,165.76250653324084]
[535.3744848195887,551.2564516290397]
[752.996000316472,726.2964565732108]
[417.13220829036214,737.5953587743777]
[279.07769017531217,428.42519261691143]
[393.9707620609274,431.7544627699331]
[666.3938990567643,311.07159531765575]
[797.3563854470974,614.8089287303737]
[650.301438336578,683.345316116775]
[162.60870460148027,461.0532144725672]
[785.312429818975,318.197643461008]
[427.0291922194937,828.8168115975275]
[650.1716048418908,515.8862081702149]
[467.453439436715,637.4365691928381]
[210.03954720169858,694.29471859895]
[578.4061730444423,265.34390716698545]
[553.8644930017248,664.1810570465386]
[581.3899321027699,464.2630272878826]
[305.81949162416885,652.5542046396887]
[386.0800104267436,583.2218994858285]
[718.757302829341,610.9907637243284]
[249.08292979056057,291.5861914177638]
[283.27666664237785,573.3678765978276]
[458.4332756821325,159.05624598480492]
[451.7538853067607,518.8725369243646]
[700.6443930162076,413.1924763555264]
[821.9318782740114,525.838611491849]
[504.298812674485,752.5556178557604]
[553.3492082001795,837.7503520938662]
[602.3617112046395,375.94323287972384]
[618.9201946382382,601.9829525634689]
[4.031140675043114E-6,6.632360187238236E-4]
[374.98973823926127,670.7288892086532]
[745.1561465326429,500.5671069664731]
[193.10215731583796,367.4479228217537]
[341.3063359915706,355.93526111626556]
[346.68210991393426,495.8441755462261]
[235.8551932727106,511.67227342039547]
[476.6940834206141,255.36397511306888]
[442.49975494608356,348.68757586231476]
[707.9528795620439,211.82818163477822]
[526.5047745229053,343.81072844074333]
[836.6095880104676,418.06192611664096]
