[363.9967859395747,714.0391829917164]
[0.02863691094701479,0.05079342144824351]
[378.0015148966377,340.7510150795521]
[783.8830097355925,463.0056605293737]
[603.0373351069892,604.8132207185653]
[826.8684254488795,367.575181327885]
[477.783060327272,431.76083720787045]
[532.3668605985819,288.3638367908111]
[213.50359183618045,550.6593398941712]
[417.56743591485053,506.4625402075374]
[592.0920231207276,521.8048431753855]
[211.43707700975537,718.8441663837891]
[745.9258934548768,763.616478631905]
[511.632475397217,682.1711596565565]
[300.4555342303013,387.57975122391434]
[646.2945930669846,731.9253730794986]
[269.90861537441316,477.9434070659796]
[299.7560770959925,623.3688514447352]
[377.6017586135178,435.10105991581173]
[308.63162548075746,240.42181989206838]
[563.557050107675,447.77397496854246]
[329.3951630753652,825.5728354833961]
[750.7929234472546,304.57328638346297]
[576.6789020651413,802.8678446723256]
[433.0103877636967,232.74705410757647]
[462.06097094995283,795.4497842733969]
[464.6954981138453,539.5152316479171]
[771.3215082533319,627.472169255081]
[430.1317596032384,662.4048473593596]
[384.9148566613234,603.0177382039641]
[592.4705735523587,373.0581142766455]
[201.53165214369702,372.84354181226297]
[698.8436817030743,400.8226154094287]
[519.4435474875378,577.385605586753]
[579.5937630972772,653.8749255455358]
[635.2218694704482,448.9818759860306]
[782.2202171514754,139.76602640994798]
[528.0588109573729,374.9443546465038]
[642.4015415320844,328.2660895621439]
[515.9594926311047,501.9542006511194]
[548.4886458021039,184.05886122553724]
[653.6694267219482,235.804490004239]
[465.6142032345712,603.7621704071296]
[800.0005784274213,554.0673030411983]
[458.36828077460723,362.98351874441306]
[578.5231690382462,708.4967274985605]
[678.3703653271547,656.2623010575544]
[336.3628447596665,530.518893712745]
[694.0712661544837,517.7297564887904]
[649.1692026474111,561.0319973878803]
